,date,state,variable,value
246,2020-05-02,FL,deaths,1363.0
247,2020-05-02,TX,deaths,875.0
248,2020-05-03,FL,deaths,1378.0
249,2020-05-03,TX,deaths,890.0
250,2020-05-04,FL,deaths,1398.0
251,2020-05-04,TX,deaths,914.0
252,2020-05-05,FL,deaths,1470.0
253,2020-05-05,TX,deaths,955.0
254,2020-05-06,FL,deaths,1538.0
255,2020-05-06,TX,deaths,985.0
256,2020-05-07,FL,deaths,1599.0
257,2020-05-07,TX,deaths,1016.0
258,2020-05-08,FL,deaths,1668.0
259,2020-05-08,TX,deaths,1059.0
260,2020-05-09,FL,deaths,1714.0
261,2020-05-09,TX,deaths,1086.0
262,2020-05-10,FL,deaths,1720.0
263,2020-05-10,TX,deaths,1110.0
264,2020-05-11,FL,deaths,1734.0
265,2020-05-11,TX,deaths,1137.0
266,2020-05-12,FL,deaths,1778.0
267,2020-05-12,TX,deaths,1169.0
268,2020-05-13,FL,deaths,1826.0
269,2020-05-13,TX,deaths,1205.0
270,2020-05-14,FL,deaths,1874.0
271,2020-05-14,TX,deaths,1256.0
272,2020-05-15,FL,deaths,1916.0
273,2020-05-15,TX,deaths,1300.0
274,2020-05-16,FL,deaths,1963.0
275,2020-05-16,TX,deaths,1330.0
276,2020-05-17,FL,deaths,1972.0
277,2020-05-17,TX,deaths,1356.0
278,2020-05-18,FL,deaths,1996.0
279,2020-05-18,TX,deaths,1362.0
280,2020-05-19,FL,deaths,2051.0
281,2020-05-19,TX,deaths,1405.0
282,2020-05-20,FL,deaths,2095.0
283,2020-05-20,TX,deaths,1443.0
284,2020-05-21,FL,deaths,2143.0
285,2020-05-21,TX,deaths,1480.0
286,2020-05-22,FL,deaths,2189.0
287,2020-05-22,TX,deaths,1498.0
288,2020-05-23,FL,deaths,2232.0
289,2020-05-23,TX,deaths,1522.0
290,2020-05-24,FL,deaths,2236.0
291,2020-05-24,TX,deaths,1533.0
292,2020-05-25,FL,deaths,2251.0
293,2020-05-25,TX,deaths,1536.0
294,2020-05-26,FL,deaths,2258.0
295,2020-05-26,TX,deaths,1552.0
296,2020-05-27,FL,deaths,2318.0
297,2020-05-27,TX,deaths,1598.0
298,2020-05-28,FL,deaths,2363.0
299,2020-05-28,TX,deaths,1618.0
300,2020-05-29,FL,deaths,2412.0
301,2020-05-29,TX,deaths,1645.0
302,2020-05-30,FL,deaths,2446.0
303,2020-05-30,TX,deaths,1676.0
304,2020-05-31,FL,deaths,2450.0
305,2020-05-31,TX,deaths,1683.0
306,2020-06-01,FL,deaths,2459.0
307,2020-06-01,TX,deaths,1695.0
308,2020-06-02,FL,deaths,2529.0
309,2020-06-02,TX,deaths,1732.0
310,2020-06-03,FL,deaths,2565.0
311,2020-06-03,TX,deaths,1766.0
312,2020-06-04,FL,deaths,2606.0
313,2020-06-04,TX,deaths,1793.0
314,2020-06-05,FL,deaths,2659.0
315,2020-06-05,TX,deaths,1821.0
316,2020-06-06,FL,deaths,2687.0
317,2020-06-06,TX,deaths,1840.0
318,2020-06-07,FL,deaths,2699.0
319,2020-06-07,TX,deaths,1846.0
320,2020-06-08,FL,deaths,2711.0
321,2020-06-08,TX,deaths,1856.0
322,2020-06-09,FL,deaths,2764.0
323,2020-06-09,TX,deaths,1886.0
324,2020-06-10,FL,deaths,2800.0
325,2020-06-10,TX,deaths,1916.0
326,2020-06-11,FL,deaths,2847.0
327,2020-06-11,TX,deaths,1942.0
328,2020-05-02,USA,deaths,66485.0
329,2020-05-03,USA,deaths,67816.0
330,2020-05-04,USA,deaths,68905.0
331,2020-05-05,USA,deaths,71139.0
332,2020-05-06,USA,deaths,73847.0
333,2020-05-07,USA,deaths,75805.0
334,2020-05-08,USA,deaths,77380.0
335,2020-05-09,USA,deaths,78834.0
336,2020-05-10,USA,deaths,79765.0
337,2020-05-11,USA,deaths,80747.0
338,2020-05-12,USA,deaths,82400.0
339,2020-05-13,USA,deaths,84168.0
340,2020-05-14,USA,deaths,85906.0
341,2020-05-15,USA,deaths,87499.0
342,2020-05-16,USA,deaths,88724.0
343,2020-05-17,USA,deaths,89568.0
344,2020-05-18,USA,deaths,90414.0
345,2020-05-19,USA,deaths,91934.0
346,2020-05-20,USA,deaths,93411.0
347,2020-05-21,USA,deaths,94721.0
348,2020-05-22,USA,deaths,96010.0
349,2020-05-23,USA,deaths,97060.0
350,2020-05-24,USA,deaths,97680.0
351,2020-05-25,USA,deaths,98190.0
352,2020-05-26,USA,deaths,98937.0
353,2020-05-27,USA,deaths,100422.0
354,2020-05-28,USA,deaths,101622.0
355,2020-05-29,USA,deaths,102812.0
356,2020-05-30,USA,deaths,103775.0
357,2020-05-31,USA,deaths,104379.0
358,2020-06-01,USA,deaths,105113.0
359,2020-06-02,USA,deaths,106195.0
360,2020-06-03,USA,deaths,107184.0
361,2020-06-04,USA,deaths,108192.0
362,2020-06-05,USA,deaths,109304.0
363,2020-06-06,USA,deaths,110032.0
364,2020-06-07,USA,deaths,110422.0
365,2020-06-08,USA,deaths,111144.0
366,2020-06-09,USA,deaths,112174.0
367,2020-06-10,USA,deaths,113097.0
368,2020-06-11,USA,deaths,113974.0
984,2020-05-02,FL,deathsr,
985,2020-05-02,TX,deathsr,
986,2020-05-03,FL,deathsr,
987,2020-05-03,TX,deathsr,
988,2020-05-04,FL,deathsr,
989,2020-05-04,TX,deathsr,
990,2020-05-05,FL,deathsr,
991,2020-05-05,TX,deathsr,
992,2020-05-06,FL,deathsr,
993,2020-05-06,TX,deathsr,
994,2020-05-07,FL,deathsr,
995,2020-05-07,TX,deathsr,
996,2020-05-08,FL,deathsr,
997,2020-05-08,TX,deathsr,
998,2020-05-09,FL,deathsr,50.142857142857146
999,2020-05-09,TX,deathsr,30.142857142857142
1000,2020-05-10,FL,deathsr,48.857142857142854
1001,2020-05-10,TX,deathsr,31.428571428571427
1002,2020-05-11,FL,deathsr,48.0
1003,2020-05-11,TX,deathsr,31.857142857142858
1004,2020-05-12,FL,deathsr,44.0
1005,2020-05-12,TX,deathsr,30.571428571428573
1006,2020-05-13,FL,deathsr,41.142857142857146
1007,2020-05-13,TX,deathsr,31.428571428571427
1008,2020-05-14,FL,deathsr,39.285714285714285
1009,2020-05-14,TX,deathsr,34.285714285714285
1010,2020-05-15,FL,deathsr,35.42857142857143
1011,2020-05-15,TX,deathsr,34.42857142857143
1012,2020-05-16,FL,deathsr,35.57142857142857
1013,2020-05-16,TX,deathsr,34.857142857142854
1014,2020-05-17,FL,deathsr,36.0
1015,2020-05-17,TX,deathsr,35.142857142857146
1016,2020-05-18,FL,deathsr,37.42857142857143
1017,2020-05-18,TX,deathsr,32.142857142857146
1018,2020-05-19,FL,deathsr,39.0
1019,2020-05-19,TX,deathsr,33.714285714285715
1020,2020-05-20,FL,deathsr,38.42857142857143
1021,2020-05-20,TX,deathsr,34.0
1022,2020-05-21,FL,deathsr,38.42857142857143
1023,2020-05-21,TX,deathsr,32.0
1024,2020-05-22,FL,deathsr,39.0
1025,2020-05-22,TX,deathsr,28.285714285714285
1026,2020-05-23,FL,deathsr,38.42857142857143
1027,2020-05-23,TX,deathsr,27.428571428571427
1028,2020-05-24,FL,deathsr,37.714285714285715
1029,2020-05-24,TX,deathsr,25.285714285714285
1030,2020-05-25,FL,deathsr,36.42857142857143
1031,2020-05-25,TX,deathsr,24.857142857142858
1032,2020-05-26,FL,deathsr,29.571428571428573
1033,2020-05-26,TX,deathsr,21.0
1034,2020-05-27,FL,deathsr,31.857142857142858
1035,2020-05-27,TX,deathsr,22.142857142857142
1036,2020-05-28,FL,deathsr,31.428571428571427
1037,2020-05-28,TX,deathsr,19.714285714285715
1038,2020-05-29,FL,deathsr,31.857142857142858
1039,2020-05-29,TX,deathsr,21.0
1040,2020-05-30,FL,deathsr,30.571428571428573
1041,2020-05-30,TX,deathsr,22.0
1042,2020-05-31,FL,deathsr,30.571428571428573
1043,2020-05-31,TX,deathsr,21.428571428571427
1044,2020-06-01,FL,deathsr,29.714285714285715
1045,2020-06-01,TX,deathsr,22.714285714285715
1046,2020-06-02,FL,deathsr,38.714285714285715
1047,2020-06-02,TX,deathsr,25.714285714285715
1048,2020-06-03,FL,deathsr,35.285714285714285
1049,2020-06-03,TX,deathsr,24.0
1050,2020-06-04,FL,deathsr,34.714285714285715
1051,2020-06-04,TX,deathsr,25.0
1052,2020-06-05,FL,deathsr,35.285714285714285
1053,2020-06-05,TX,deathsr,25.142857142857142
1054,2020-06-06,FL,deathsr,34.42857142857143
1055,2020-06-06,TX,deathsr,23.428571428571427
1056,2020-06-07,FL,deathsr,35.57142857142857
1057,2020-06-07,TX,deathsr,23.285714285714285
1058,2020-06-08,FL,deathsr,36.0
1059,2020-06-08,TX,deathsr,23.0
1060,2020-06-09,FL,deathsr,33.57142857142857
1061,2020-06-09,TX,deathsr,22.0
1062,2020-06-10,FL,deathsr,33.57142857142857
1063,2020-06-10,TX,deathsr,21.428571428571427
1064,2020-06-11,FL,deathsr,34.42857142857143
1065,2020-06-11,TX,deathsr,21.285714285714285
1066,2020-05-02,USA,deathsr,
1067,2020-05-03,USA,deathsr,
1068,2020-05-04,USA,deathsr,
1069,2020-05-05,USA,deathsr,
1070,2020-05-06,USA,deathsr,
1071,2020-05-07,USA,deathsr,
1072,2020-05-08,USA,deathsr,
1073,2020-05-09,USA,deathsr,1764.142857142857
1074,2020-05-10,USA,deathsr,1707.0
1075,2020-05-11,USA,deathsr,1691.7142857142858
1076,2020-05-12,USA,deathsr,1608.7142857142858
1077,2020-05-13,USA,deathsr,1474.4285714285713
1078,2020-05-14,USA,deathsr,1443.0
1079,2020-05-15,USA,deathsr,1445.5714285714287
1080,2020-05-16,USA,deathsr,1412.857142857143
1081,2020-05-17,USA,deathsr,1400.4285714285713
1082,2020-05-18,USA,deathsr,1381.0
1083,2020-05-19,USA,deathsr,1362.0
1084,2020-05-20,USA,deathsr,1320.4285714285713
1085,2020-05-21,USA,deathsr,1259.2857142857142
1086,2020-05-22,USA,deathsr,1215.857142857143
1087,2020-05-23,USA,deathsr,1190.857142857143
1088,2020-05-24,USA,deathsr,1158.857142857143
1089,2020-05-25,USA,deathsr,1110.857142857143
1090,2020-05-26,USA,deathsr,1000.4285714285714
1091,2020-05-27,USA,deathsr,1001.5714285714286
1092,2020-05-28,USA,deathsr,985.8571428571429
1093,2020-05-29,USA,deathsr,971.7142857142857
1094,2020-05-30,USA,deathsr,959.2857142857143
1095,2020-05-31,USA,deathsr,957.0
1096,2020-06-01,USA,deathsr,989.0
1097,2020-06-02,USA,deathsr,1036.857142857143
1098,2020-06-03,USA,deathsr,966.0
1099,2020-06-04,USA,deathsr,938.5714285714286
1100,2020-06-05,USA,deathsr,927.4285714285714
1101,2020-06-06,USA,deathsr,893.8571428571429
1102,2020-06-07,USA,deathsr,863.2857142857143
1103,2020-06-08,USA,deathsr,861.5714285714286
1104,2020-06-09,USA,deathsr,854.1428571428571
1105,2020-06-10,USA,deathsr,844.7142857142857
1106,2020-06-11,USA,deathsr,826.0
